timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-09-06,146.8800,147.6600,145.5400,146.3900,146.3900,4248781,0.0000,1.0000
2018-09-05,145.1900,146.7500,145.0500,146.6600,146.6600,3126540,0.0000,1.0000
2018-09-04,145.9800,146.1900,144.8100,145.6800,145.6800,3326153,0.0000,1.0000
2018-08-31,145.7200,146.7800,145.5401,146.4800,146.4800,3488476,0.0000,1.0000
2018-08-30,147.0300,147.3000,145.2500,145.9300,145.9300,3340369,0.0000,1.0000
2018-08-29,146.8700,147.9300,146.6000,147.5400,147.5400,3153845,0.0000,1.0000
2018-08-28,146.9500,146.9900,146.1900,146.5900,146.5900,2455328,0.0000,1.0000
2018-08-27,146.9400,147.6200,146.5200,146.6900,146.6900,3491565,0.0000,1.0000
2018-08-24,145.4600,146.0869,144.8700,146.0400,146.0400,2776813,0.0000,1.0000
2018-08-23,145.0400,145.5200,144.7500,145.3700,145.3700,2220603,0.0000,1.0000
2018-08-22,146.0100,146.1600,145.1900,145.2400,145.2400,2388961,0.0000,1.0000
2018-08-21,147.0000,147.1200,145.8900,145.9700,145.9700,3106876,0.0000,1.0000
2018-08-20,146.3700,147.1600,146.1500,146.5100,146.5100,2499654,0.0000,1.0000
2018-08-17,144.7900,146.3900,144.6900,146.0600,146.0600,2678820,0.0000,1.0000
2018-08-16,144.3700,145.6800,144.3700,145.3400,145.3400,5250878,0.0000,1.0000
2018-08-15,142.5500,144.0000,142.0000,143.9100,143.9100,4241496,0.0000,1.0000
2018-08-14,143.0000,143.8200,142.9300,143.3600,143.3600,2860041,0.0000,1.0000
2018-08-13,144.1500,144.3000,142.5300,142.7100,142.7100,2858842,0.0000,1.0000
2018-08-10,144.5000,145.0700,143.8800,144.4800,144.4800,3003158,0.0000,1.0000
2018-08-09,145.5300,145.9400,144.7300,144.7700,144.7700,3093504,1.5700,1.0000
2018-08-08,147.3300,147.4300,146.2400,146.8900,145.3141,3581746,0.0000,1.0000
2018-08-07,146.6500,147.6400,146.3500,147.0100,145.4328,3508758,0.0000,1.0000
2018-08-06,146.9500,147.2000,145.5700,146.0300,144.4633,3913743,0.0000,1.0000
2018-08-03,143.2400,147.9200,143.0000,147.7000,146.1154,8053567,0.0000,1.0000
2018-08-02,142.8600,143.3600,142.3300,142.9600,141.4263,3841447,0.0000,1.0000
2018-08-01,144.7600,145.1900,143.3400,143.5000,141.9605,3388386,0.0000,1.0000
2018-07-31,145.7400,145.8000,144.1590,144.9300,143.3751,5474478,0.0000,1.0000
2018-07-30,144.8000,146.2400,144.6900,145.4900,143.9291,3608283,0.0000,1.0000
2018-07-27,146.8900,147.1400,144.6600,145.1500,143.5928,3749642,0.0000,1.0000
2018-07-26,147.4300,149.2700,146.6300,146.7100,145.1360,4778022,0.0000,1.0000
2018-07-25,146.0100,146.6500,145.5000,146.6200,145.0470,3623182,0.0000,1.0000
2018-07-24,146.7000,147.0400,145.9200,146.3800,144.8096,3891625,0.0000,1.0000
2018-07-23,146.3500,146.7000,145.0150,145.7000,144.1369,3897892,0.0000,1.0000
2018-07-20,148.5800,148.8600,146.2600,146.3500,144.7799,6415972,0.0000,1.0000
2018-07-19,147.8500,150.5400,147.2500,149.2400,147.6389,14655804,0.0000,1.0000
2018-07-18,143.5100,144.8000,142.7351,144.5200,142.9695,6935288,0.0000,1.0000
2018-07-17,144.7500,145.0000,143.3400,143.4900,141.9506,5096741,0.0000,1.0000
2018-07-16,145.6700,145.7900,144.2100,145.4600,143.8994,3468817,0.0000,1.0000
2018-07-13,146.4500,146.9799,145.8000,145.9000,144.3347,3067638,0.0000,1.0000
2018-07-12,145.8500,146.8300,145.7400,146.4500,144.8788,3119505,0.0000,1.0000
2018-07-11,144.0000,146.1900,144.0000,144.9400,143.3850,3526565,0.0000,1.0000
2018-07-10,144.5100,145.5900,144.2550,144.7100,143.1575,3776991,0.0000,1.0000
2018-07-09,142.5900,144.7200,142.4700,144.3900,142.8409,3904652,0.0000,1.0000
2018-07-06,141.5300,142.9400,141.1700,142.4800,140.9514,2910426,0.0000,1.0000
2018-07-05,140.4800,141.4300,139.9300,141.4300,139.9127,3744730,0.0000,1.0000
2018-07-03,140.6500,140.9400,139.3678,139.5700,138.0726,1963232,0.0000,1.0000
2018-07-02,138.2800,140.2200,138.2000,139.8600,138.3595,3405642,0.0000,1.0000
2018-06-29,140.3200,141.3590,139.6100,139.7000,138.2012,3753684,0.0000,1.0000
2018-06-28,138.1000,140.5400,137.9450,140.0400,138.5376,4523666,0.0000,1.0000
2018-06-27,139.1100,139.7800,137.4500,137.4800,136.0051,4097588,0.0000,1.0000
2018-06-26,139.3600,139.8499,138.3300,139.0800,137.5879,4139455,0.0000,1.0000
2018-06-25,140.4000,140.4000,138.2800,138.7900,137.3010,8937085,0.0000,1.0000
2018-06-22,141.6400,141.8100,140.7800,141.2800,139.7643,6013678,0.0000,1.0000
2018-06-21,142.5900,143.1400,140.8300,141.2500,139.7346,3887650,0.0000,1.0000
2018-06-20,144.2200,144.5200,142.4100,142.6300,141.0998,3329917,0.0000,1.0000
2018-06-19,143.1200,144.2200,142.9500,143.9000,142.3562,3487015,0.0000,1.0000
2018-06-18,144.1800,144.5200,143.1400,144.4800,142.9300,4286406,0.0000,1.0000
2018-06-15,144.9000,145.4700,143.7000,145.3900,143.8302,9116048,0.0000,1.0000
2018-06-14,146.6500,146.9800,145.0900,145.2000,143.6422,3326343,0.0000,1.0000
2018-06-13,146.7900,147.4700,146.2000,146.3500,144.7799,2968180,0.0000,1.0000
2018-06-12,147.1000,147.5200,146.6200,146.8700,145.2943,2640515,0.0000,1.0000
2018-06-11,146.6200,147.4100,146.1400,146.5800,145.0074,3259986,0.0000,1.0000
2018-06-08,145.0000,146.4300,144.3700,146.1400,144.5721,5210468,0.0000,1.0000
2018-06-07,145.0000,146.7000,144.9300,145.3600,143.8005,4316484,0.0000,1.0000
2018-06-06,144.3400,144.7200,143.5400,144.7100,143.1575,3220139,0.0000,1.0000
2018-06-05,143.0500,144.0800,143.0400,143.7000,142.1583,2836017,0.0000,1.0000
2018-06-04,142.3000,143.1700,142.1800,143.0400,141.5054,3035257,0.0000,1.0000
2018-06-01,142.4300,142.8400,141.6200,141.9500,140.4271,3857530,0.0000,1.0000
2018-05-31,142.8100,142.8100,141.0500,141.3100,139.7940,6830256,0.0000,1.0000
2018-05-30,141.9000,143.1000,141.8200,142.6200,141.0899,5118530,0.0000,1.0000
2018-05-29,142.5300,142.8900,140.2100,141.2200,139.7049,4537638,0.0000,1.0000
2018-05-25,143.9000,144.5700,143.4600,143.6400,142.0990,4914294,0.0000,1.0000
2018-05-24,144.3900,144.4800,142.9500,144.0700,142.5244,3398701,0.0000,1.0000
2018-05-23,144.3500,144.7000,143.4800,144.6700,143.1179,3459747,0.0000,1.0000
2018-05-22,145.5200,146.2040,145.0000,145.0900,143.5334,2284020,0.0000,1.0000
2018-05-21,144.9500,146.0400,144.6800,145.4900,143.9291,2894698,0.0000,1.0000
2018-05-18,144.4700,144.9400,143.9900,144.0800,142.5342,2682243,0.0000,1.0000
2018-05-17,144.5000,145.1900,143.7700,144.5000,142.9497,3147659,0.0000,1.0000
2018-05-16,143.7000,145.0275,143.2700,144.6300,143.0783,3168659,0.0000,1.0000
2018-05-15,143.5000,143.9900,142.9200,143.7400,142.1979,4089397,0.0000,1.0000
2018-05-14,144.4700,145.1200,144.1400,144.3000,142.7519,3216062,0.0000,1.0000
2018-05-11,144.1100,144.8500,143.5800,144.1400,142.5936,3073167,0.0000,1.0000
2018-05-10,143.1500,144.3300,143.0100,144.2400,142.6925,3726608,0.0000,1.0000
2018-05-09,141.9000,143.0200,141.2800,142.6100,141.0800,4195953,1.5700,1.0000
2018-05-08,143.0000,143.5070,142.0600,143.0000,139.9254,5369119,0.0000,1.0000
2018-05-07,144.0000,144.3200,142.6403,143.2200,140.1407,3657009,0.0000,1.0000
2018-05-04,141.1000,144.3500,140.2800,143.9100,140.8158,4402170,0.0000,1.0000
2018-05-03,142.1300,142.2300,139.9000,141.9900,138.9371,5018592,0.0000,1.0000
2018-05-02,144.4600,144.8200,142.0700,142.4500,139.3872,5194917,0.0000,1.0000
2018-05-01,144.6500,145.0200,143.4700,145.0000,141.8824,4433393,0.0000,1.0000
2018-04-30,146.8600,147.3800,144.9600,144.9600,141.8432,4415533,0.0000,1.0000
2018-04-27,146.8400,147.2500,145.6600,146.4800,143.3306,3205482,0.0000,1.0000
2018-04-26,146.6000,147.3600,146.2000,146.7200,143.5654,4265812,0.0000,1.0000
2018-04-25,145.7900,146.4000,144.1110,145.9400,142.8022,7324654,0.0000,1.0000
2018-04-24,146.5100,147.3000,144.5300,145.5600,142.4303,4916476,0.0000,1.0000
2018-04-23,145.0300,145.9600,144.3300,145.8600,142.7239,5315625,0.0000,1.0000
