timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-09-07,212.2400,212.9700,209.9700,212.5700,212.5700,2714511,0.0000,1.0000
2018-09-06,212.0000,213.3700,211.0700,212.7400,212.7400,2363472,0.0000,1.0000
2018-09-05,208.2900,211.9100,207.3512,211.8300,211.8300,1951460,0.0000,1.0000
2018-09-04,210.5500,210.7500,207.5450,208.6000,208.6000,2108469,0.0000,1.0000
2018-08-31,209.5700,211.7200,209.4400,210.9200,210.9200,1943454,0.0000,1.0000
2018-08-30,209.7100,211.0900,209.2300,210.2200,210.2200,2240787,0.0000,1.0000
2018-08-29,209.1700,210.9700,208.5100,210.4600,210.4600,2110317,0.0000,1.0000
2018-08-28,208.9700,210.1200,208.4835,209.4300,209.4300,2136657,0.0000,1.0000
2018-08-27,206.1800,208.5000,205.8500,208.3300,208.3300,1777219,0.0000,1.0000
2018-08-24,203.2800,205.4900,203.0701,205.2900,205.2900,1676634,0.0000,1.0000
2018-08-23,203.0000,203.1523,201.4610,202.7500,202.7500,1367312,1.3600,1.0000
2018-08-22,205.7700,205.7700,203.4000,204.2600,202.8990,1461295,0.0000,1.0000
2018-08-21,205.0000,206.0400,204.3900,205.6900,204.3195,1709730,0.0000,1.0000
2018-08-20,205.7200,205.8000,203.6600,204.6000,203.2367,2091753,0.0000,1.0000
2018-08-17,203.2800,204.9900,201.8900,204.7700,203.4056,1598888,0.0000,1.0000
2018-08-16,202.0200,203.4300,201.8200,203.1500,201.7964,1640184,0.0000,1.0000
2018-08-15,199.2500,201.7600,197.1100,201.3900,200.0481,2028914,0.0000,1.0000
2018-08-14,199.7800,201.0800,199.4100,200.5200,199.1839,1719047,0.0000,1.0000
2018-08-13,202.0200,202.7900,199.5000,199.8400,198.5085,1587360,0.0000,1.0000
2018-08-10,203.8100,204.1300,201.0000,201.9600,200.6143,1893208,0.0000,1.0000
2018-08-09,207.1400,207.9700,204.4900,204.7800,203.4155,1812628,0.0000,1.0000
2018-08-08,208.4900,209.0400,206.7700,207.1400,205.7598,1052133,0.0000,1.0000
2018-08-07,208.0100,209.6100,207.3700,208.5700,207.1803,1314601,0.0000,1.0000
2018-08-06,207.4500,207.4600,205.2350,206.7000,205.3227,1064190,0.0000,1.0000
2018-08-03,205.9200,207.5810,205.2000,207.2900,205.9088,1300321,0.0000,1.0000
2018-08-02,205.9500,205.9900,203.8500,205.5300,204.1605,1699670,0.0000,1.0000
2018-08-01,210.9800,211.0600,206.8700,207.0500,205.6704,2066910,0.0000,1.0000
2018-07-31,207.2300,212.7800,206.5000,212.3200,210.9053,3573142,0.0000,1.0000
2018-07-30,208.2500,209.2500,204.7600,205.1200,203.7533,2040941,0.0000,1.0000
2018-07-27,208.6800,210.6000,206.8500,207.4200,206.0379,2247991,0.0000,1.0000
2018-07-26,204.8900,208.4400,204.6500,207.9600,206.5743,2848251,0.0000,1.0000
2018-07-25,200.6300,204.4900,200.5200,204.3800,203.0182,3345514,0.0000,1.0000
2018-07-24,192.9400,202.1900,190.5700,200.6800,199.3429,8186488,0.0000,1.0000
2018-07-23,201.5400,201.5400,197.6800,198.8400,197.5151,3269127,0.0000,1.0000
2018-07-20,199.3300,202.9450,198.2500,201.9500,200.6044,2335897,0.0000,1.0000
2018-07-19,201.7600,202.2900,199.5100,201.6000,200.2567,2616350,0.0000,1.0000
2018-07-18,202.2200,203.1700,201.3500,202.2000,200.8527,1945041,0.0000,1.0000
2018-07-17,200.9900,203.0700,200.1300,202.0700,200.7236,1920564,0.0000,1.0000
